,Unnamed: 0,team_name,week,neutral_site,conference_game,home_team,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_team,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,elo_diff,point_diff,home/away,win/loss
0,0,Miami (OH),1,False,False,Kentucky,37.0,0.95428451428676,1670.0,1713.0,Miami (OH),13.0,0.04571548571324013,1516.0,1473.0,-154.0,-24.0,Away,L
1,1,Miami (OH),2,False,False,Miami (OH),31.0,0.9983529606091732,1469.0,1469.0,Robert Morris,14.0,0.0016470393908266654,,,,17.0,Home,W
2,2,Miami (OH),3,True,False,Miami (OH),17.0,,1473.0,1459.0,Cincinnati,38.0,,1781.0,1795.0,-308.0,-21.0,Home,L
3,3,Miami (OH),4,False,False,Northwestern,14.0,0.5356428118287516,1353.0,1355.0,Miami (OH),17.0,0.4643571881712484,1459.0,1457.0,106.0,3.0,Away,W
4,4,Miami (OH),5,False,True,Buffalo,24.0,0.9252523497193536,1397.0,1402.0,Miami (OH),20.0,0.07474765028064645,1457.0,1452.0,60.0,-4.0,Away,L
5,5,Miami (OH),6,False,True,Miami (OH),27.0,,1452.0,1451.0,Kent State,24.0,,1313.0,1314.0,139.0,3.0,Home,W
6,6,Miami (OH),7,False,True,Bowling Green,17.0,0.9366902641365406,1092.0,1107.0,Miami (OH),13.0,0.06330973586345945,1451.0,1436.0,359.0,-4.0,Away,L
7,7,Miami (OH),8,False,True,Miami (OH),10.0,0.7467116935607153,1436.0,1411.0,Western Michigan,16.0,0.2532883064392847,1255.0,1280.0,181.0,-6.0,Home,L
8,8,Miami (OH),9,False,True,Akron,9.0,0.07202980811126593,974.0,973.0,Miami (OH),27.0,0.927970191888734,1411.0,1412.0,437.0,18.0,Away,W
9,9,Miami (OH),11,False,True,Miami (OH),21.0,0.0449067839900081,1412.0,1374.0,Ohio,37.0,0.955093216009992,1413.0,1451.0,-1.0,-16.0,Home,L
10,10,Miami (OH),12,False,True,Northern Illinois,23.0,0.891168374685729,1360.0,1350.0,Miami (OH),29.0,0.10883162531427104,1374.0,1384.0,14.0,6.0,Away,W
11,11,Miami (OH),13,False,True,Miami (OH),18.0,,1384.0,1382.0,Ball State,17.0,,1288.0,1290.0,96.0,1.0,Home,W
12,12,UAB,1,False,False,UAB,59.0,0.99894038261604,1546.0,1546.0,Alabama A&M,0.0,0.0010596173839598766,,,,59.0,Home,W
13,13,UAB,2,False,False,Liberty,21.0,0.8642820700729226,1586.0,1593.0,UAB,14.0,0.13571792992707746,1546.0,1539.0,-40.0,-7.0,Away,L
14,14,UAB,3,False,False,UAB,35.0,0.9758170071412102,1539.0,1556.0,Georgia Southern,21.0,0.024182992858789776,1402.0,1385.0,137.0,14.0,Home,W
15,15,UAB,5,False,True,Rice,28.0,0.4554328299353524,1211.0,1225.0,UAB,24.0,0.5445671700646476,1556.0,1542.0,345.0,-4.0,Away,L
16,16,UAB,6,False,True,UAB,41.0,0.9989287633208817,1542.0,1594.0,Middle Tennessee,14.0,0.0010712366791184589,1384.0,1332.0,158.0,27.0,Home,W
17,17,UAB,7,False,True,UAB,34.0,0.9885618264360024,1594.0,1584.0,Charlotte,20.0,0.011438173563997678,1111.0,1121.0,483.0,14.0,Home,W
18,18,UAB,8,False,True,Western Kentucky,20.0,0.6955426970753706,1784.0,1782.0,UAB,17.0,0.30445730292462936,1584.0,1586.0,-200.0,-3.0,Away,L
19,19,UAB,9,False,True,Florida Atlantic,24.0,,1369.0,1392.0,UAB,17.0,,1586.0,1563.0,217.0,-7.0,Away,L
20,20,UAB,10,False,True,UAB,38.0,0.8229255045025348,1563.0,1548.0,UT San Antonio,44.0,0.17707449549746526,1511.0,1526.0,52.0,-6.0,Home,L
21,21,UAB,11,False,True,UAB,41.0,0.9979997605730326,1548.0,1594.0,North Texas,21.0,0.0020002394269673647,1542.0,1496.0,6.0,20.0,Home,W
22,22,UAB,12,False,False,LSU,41.0,0.9989505433930491,1710.0,1779.0,UAB,10.0,0.0010494566069509936,1594.0,1525.0,-116.0,-31.0,Away,L
23,23,UAB,13,False,True,Louisiana Tech,27.0,0.0036477089246289094,1115.0,1127.0,UAB,37.0,0.9963522910753709,1525.0,1513.0,410.0,10.0,Away,W
24,24,UT San Antonio,1,False,False,UT San Antonio,35.0,0.2888714054420264,1512.0,1515.0,Houston,37.0,0.7111285945579736,1620.0,1617.0,-108.0,-2.0,Home,L
25,25,UT San Antonio,2,False,False,Army,38.0,0.9110705769083414,1534.0,1528.0,UT San Antonio,41.0,0.08892942309165862,1515.0,1521.0,-19.0,3.0,Away,W
26,26,UT San Antonio,3,False,False,Texas,41.0,0.9796737529662402,1716.0,1746.0,UT San Antonio,20.0,0.020326247033759848,1521.0,1491.0,-195.0,-21.0,Away,L
27,27,UT San Antonio,4,False,False,UT San Antonio,52.0,0.9968430525508836,1485.0,1485.0,Texas Southern,24.0,0.003156947449116432,,,,28.0,Home,W
28,28,UT San Antonio,5,False,True,Middle Tennessee,30.0,0.001650188445871324,1411.0,1384.0,UT San Antonio,45.0,0.9983498115541288,1491.0,1518.0,80.0,15.0,Away,W
29,29,UT San Antonio,6,False,True,UT San Antonio,31.0,0.8419512315616614,1518.0,1523.0,Western Kentucky,28.0,0.1580487684383386,1789.0,1784.0,-271.0,3.0,Home,W
30,30,UT San Antonio,7,False,True,Florida International,10.0,0.0014720089605365875,899.0,910.0,UT San Antonio,30.0,0.9985279910394634,1523.0,1512.0,624.0,20.0,Away,W
31,31,UT San Antonio,8,False,True,UT San Antonio,31.0,0.9207648081606228,1512.0,1511.0,North Texas,27.0,0.0792351918393771,1360.0,1361.0,152.0,4.0,Home,W
32,32,UT San Antonio,10,False,True,UAB,38.0,0.8229255045025348,1563.0,1548.0,UT San Antonio,44.0,0.17707449549746526,1511.0,1526.0,-52.0,6.0,Away,W
33,33,UT San Antonio,11,False,True,UT San Antonio,51.0,0.9987509485367304,1526.0,1613.0,Louisiana Tech,7.0,0.0012490514632697016,1209.0,1122.0,317.0,44.0,Home,W
